VIDA TOTAL DE HTTA,PIEZAS MAQUINADAS,VIDA DESPERDICIADA,% DE VIDA ULTILIZADA,DESCRIPCION DE LA FALLA EN LA HERRAMIENTA
30900,15000,15900,48.54368932,Rota
30900,2,30898,0.006472492,Rota
8500,688,7812,8.094117647,Rota
5000,4500,500,90.0,Otro
23300,3294,20006,14.13733906,Rota
8500,1885,6615,22.17647059,Rota
20000,3240,16760,16.2,Rota
20000,6772,13228,33.86,Rota
20000,4033,15967,20.165,Desportillamiento
5000,4159,841,83.18,Rota
8000,3860,4140,48.25,Rota
3875,129,3746,3.329032258,Rota
20000,9436,10564,47.18,Rota
5000,1736,3264,34.72,Rota
2600,156,2444,6.0,Rota
20000,0,20000,0.0,Rota
600,76,524,12.66666667,Otro
23300,25,23275,0.107296137,Rota
3150,3139,11,99.65079365,Rota
2500,208,2292,8.32,Rota
10000,174,9826,1.74,Desportillamiento
44400,1305,43095,2.939189189,Desportillamiento
10200,3495,6705,34.26470588,Desportillamiento
10000,0,10000,0.0,Desportillamiento
17200,414,16786,2.406976744,Rota
33300,0,33300,0.0,Rota
4444,0,4444,0.0,Rota
5000,0,5000,0.0,Rota
33300,0,33300,0.0,Rota
2500,1100,1400,44.0,Rota
20000,2985,17015,14.925,Rota
8500,6296,2204,74.07058824,Rota
8000,0,8000,0.0,Rota
20000,9659,10341,48.295,Desportillamiento
4800,1841,2959,38.35416667,Rota
8000,1527,6473,19.0875,Rota
20000,12003,7997,60.015,Desportillamiento
2500,550,1950,22.0,Rota
25000,0,25000,0.0,Desportillamiento
13333,0,13333,0.0,Rota
30900,0,30900,0.0,Rota
15000,3489,11511,23.26,Rota
2500,352,2148,14.08,Rota
2500,27,2473,1.08,Rota
2500,0,2500,0.0,Rota
16100,8455,7645,52.51552795,Rota
2500,0,2500,0.0,Rota
23300,5438,17862,23.33905579,Rota
23300,16,23284,0.068669528,Rota
4000,2621,1379,65.525,Desportillamiento
20000,7510,12490,37.55,Desportillamiento
23300,5438,17862,23.33905579,Desportillamiento
14000,8357,5643,59.69285714,Desportillamiento
23300,60,23240,0.25751073,Desportillamiento
20000,8992,11008,44.96,Rota
10000,429,9571,4.29,Rota
10000,557,9443,5.57,Rota
25600,5726,19874,22.3671875,Desportillamiento
4800,863,3937,17.97916667,Rota
25000,2738,22262,10.952,Desportillamiento
23300,7693,15607,33.01716738,Rota
20000,0,20000,0.0,Rota
20000,7499,12501,37.495,Rota
23300,211,23089,0.905579399,Rota
40000,4289,35711,10.7225,Rota
15800,0,15800,0.0,Desportillamiento
14000,2267,11733,16.19285714,Acabado
8000,0,8000,0.0,Rota
15000,0,15000,0.0,Caída
16600,0,16600,0.0,Caída
23300,0,23300,0.0,Rota
16100,0,16100,0.0,Rota
5000,4205,795,84.1,Rota
2000,1428,572,71.4,Rota
5400,1400,4000,25.92592593,Rota
8000,1760,6240,22.0,Rota
23300,1000,22300,4.291845494,Caída
10000,7319,2681,73.19,Caída
2000,997,1003,49.85,Rota
2000,970,1030,48.5,Rota
2600,2554,46,98.23076923,Rota
8500,7000,1500,82.35294118,Rota
10000,2827,7173,28.27,Rota
8500,1128,7372,13.27058824,Rota
25600,82,25518,0.3203125,Rota
20000,1396,18604,6.98,Rota
8000,307,7693,3.8375,Rota
51700,0,51700,0.0,Rota
2000,420,1580,21.0,Rota
5400,2463,2937,45.61111111,Rota
25600,9306,16294,36.3515625,Acabado
23300,1937,21363,8.313304721,Rota
27000,6387,20613,23.65555556,Rota
4800,1969,2831,41.02083333,Rota
8000,393,7607,4.9125,Rota
20000,2848,17152,14.24,Rota
8000,1682,6318,21.025,Rota
8500,8192,308,96.37647059,Rota
8000,78,7922,0.975,Rota
44400,14747,29653,33.21396396,Rota
25600,8093,17507,31.61328125,Desportillamiento
600,0,600,0.0,Rota
8000,174,7826,2.175,Rota
600,20,580,3.333333333,Rota
20000,4090,15910,20.45,Otro
20000,1689,18311,8.445,Rota
5000,2623,2377,52.46,Rota
16600,0,16600,0.0,Rota
5400,0,5400,0.0,Rota
16100,7024,9076,43.62732919,Rota
3875,17,3858,0.438709677,Rota
2500,1624,876,64.96,Rota
5300,5250,50,99.05660377,Rota
16600,6238,10362,37.57831325,Rota
15800,566,15234,3.582278481,Desportillamiento
10000,7353,2647,73.53,Rota
10600,1950,8650,18.39622642,Desportillamiento
16100,5805,10295,36.05590062,Rota
16100,83,16017,0.51552795,Rota
5300,4,5296,0.075471698,Rota
3500,495,3005,14.14285714,Desportillamiento
14000,12196,1804,87.11428571,Desportillamiento
5300,205,5095,3.867924528,Rota
3875,47,3828,1.212903226,Otro
3150,2951,199,93.68253968,Rota
8500,1473,7027,17.32941176,Rota
5300,0,5300,0.0,Rota
2000,1640,360,82.0,Rota
5400,1840,3560,34.07407407,Rota
5300,2904,2396,54.79245283,Rota
15000,0,15000,0.0,Desportillamiento
3150,694,2456,22.03174603,Rota
600,424,176,70.66666667,Colisión
600,424,176,70.66666667,Colisión
600,1,599,0.166666667,Rota
5300,32,5268,0.603773585,Rota
5300,171,5129,3.226415094,Rota
4800,3336,1464,69.5,Rota
20000,15564,4436,77.82,Rota
23300,2952,20348,12.6695279,Rota
20000,0,20000,0.0,Rota
8000,500,7500,6.25,Rota
20000,2000,18000,10.0,Rota
8500,3,8497,0.035294118,Rota
10000,0,10000,0.0,Desportillamiento
10000,6752,3248,67.52,Rota
45400,2524,42876,5.559471366,Rota
25000,2524,22476,10.096,Rota
3150,157,2993,4.984126984,Rota
20000,4410,15590,22.05,Desportillamiento
8500,1302,7198,15.31764706,Rota
2500,56,2444,2.24,Rota
2000,1716,284,85.8,Rota
2500,0,2500,0.0,Rota
30000,9664,20336,32.21333333,Rota
30000,14770,15230,49.23333333,Rota
20000,4533,15467,22.665,Desportillamiento
10200,0,10200,0.0,Rota
5000,1365,3635,27.3,Otro
600,541,59,90.16666667,Rota
2500,791,1709,31.64,Rota
8500,26,8474,0.305882353,Rota
2500,1,2499,0.04,Rota
51700,758,50942,1.46615087,Rota
4444,814,3630,18.31683168,Rota
7000,6052,948,86.45714286,Rota
14000,1284,12716,9.171428571,Rota
14000,810,13190,5.785714286,Rota
3150,1729,1421,54.88888889,Rota
44400,6660,37740,15.0,Rota
4444,2339,2105,52.63276328,Rota
23300,4582,18718,19.66523605,B/M
600,266,334,44.33333333,Desportillamiento
600,266,334,44.33333333,Desportillamiento
23300,3034,20266,13.02145923,Rota
23300,1,23299,0.004291845,Rota
20000,8086,11914,40.43,Rota
51700,1856,49844,3.589941973,Rota
10000,828,9172,8.28,Rota
600,447,153,74.5,Rota
16100,14875,1225,92.39130435,Rota
2500,340,2160,13.6,Rota
5300,75,5225,1.41509434,Rota
23300,8357,14943,35.86695279,Rota
23300,3932,19368,16.87553648,Rota
2500,3,2497,0.12,Rota
2500,596,1904,23.84,Rota
20200,0,20200,0.0,Rota
25000,216,24784,0.864,S/M
51700,5947,45753,11.50290135,Rota
5000,3424,1576,68.48,Rota
5300,3,5297,0.056603774,Rota
5300,4234,1066,79.88679245,Rota
8500,2433,6067,28.62352941,Rota
5300,0,5300,0.0,Rota
20000,4992,15008,24.96,Rota
8000,956,7044,11.95,Rota
20000,14250,5750,71.25,S/M
8500,625,7875,7.352941176,Rota
20000,5621,14379,28.105,Rota
2600,2567,33,98.73076923,Rota
2500,3,2497,0.12,Rota
23300,7385,15915,31.69527897,Rota
23300,7,23293,0.030042918,Rota
5300,11,5289,0.20754717,Rota
7000,422,6578,6.028571429,Rota
2500,2500,0,100.0,Rota
5000,1,4999,0.02,Desportillamiento
2500,1,2499,0.04,Rota
2500,132,2368,5.28,Rota
8000,2580,5420,32.25,Rota
20000,3254,16746,16.27,Desportillamiento
2500,1,2499,0.04,Rota
51700,4285,47415,8.288201161,Rota
23300,5890,17410,25.27896996,Rota
600,450,150,75.0,Desportillamiento
600,450,150,75.0,Desportillamiento
23300,289,23011,1.240343348,Rota
20000,5616,14384,28.08,Rota
40300,824,39476,2.044665012,Rota
20000,16957,3043,84.785,Rota
4444,472,3972,10.62106211,Rota
30000,15870,14130,52.9,Rota
2000,987,1013,49.35,Rota
5400,4997,403,92.53703704,Rota
20000,10100,9900,50.5,Rota
25000,4482,20518,17.928,Desportillamiento
20000,2781,17219,13.905,Desportillamiento
16100,11361,4739,70.56521739,Rota
14000,12835,1165,91.67857143,Desportillamiento
5300,298,5002,5.622641509,Rota
2500,5,2495,0.2,Rota
20000,1644,18356,8.22,Rota
4444,0,4444,0.0,Rota
9700,5021,4679,51.7628866,Rota
4444,604,3840,13.59135914,Rota
10000,5739,4261,57.39,Rota
23300,8918,14382,38.27467811,Rota
4444,130,4314,2.925292529,Rota
51700,4331,47369,8.377176015,Rota
4800,779,4021,16.22916667,Rota
7000,806,6194,11.51428571,Rota
13500,13125,375,97.22222222,Rota
23300,52,23248,0.223175966,Rota
20000,3101,16899,15.505,Rota
51700,1518,50182,2.936170213,Rota
2500,1200,1300,48.0,Rota
2500,10,2490,0.4,Rota
2500,13,2487,0.52,Rota
2600,0,2600,0.0,Rota
40000,4824,35176,12.06,Rota
20000,2897,17103,14.485,Rota
2500,0,2500,0.0,Rota
8500,1048,7452,12.32941176,Desportillamiento
2500,1,2499,0.04,Rota
5000,1411,3589,28.22,Desportillamiento
40000,1045,38955,2.6125,Rota
23300,9544,13756,40.96137339,Rota
23300,214,23086,0.918454936,Rota
40000,1250,38750,3.125,Rota
20000,13984,6016,69.92,Rota
16100,10250,5850,63.66459627,Rota
40000,0,40000,0.0,Rota
10000,351,9649,3.51,Rota
30000,161,29839,0.536666667,Rota
23300,1381,21919,5.927038627,Rota
7000,74,6926,1.057142857,Rota
2500,1664,836,66.56,Rota
14000,6486,7514,46.32857143,Desportillamiento
4444,2082,2362,46.84968497,Rota
24700,0,24700,0.0,Colisión
23300,0,23300,0.0,Rota
8500,1152,7348,13.55294118,Rota
4444,277,4167,6.233123312,Rota
23300,1630,21670,6.995708155,Rota
20135,8438,11697,41.90712689,Rota
10600,1224,9376,11.54716981,Rota
2500,4,2496,0.16,Rota
14000,7902,6098,56.44285714,Desportillamiento
20000,1300,18700,6.5,Rota
23300,3115,20185,13.36909871,Rota
5000,2234,2766,44.68,Rota
22700,0,22700,0.0,Rota
